molecule,bond-length,charge,spin,method,basis,pseudopotential,totalenergy,totalenergy-stocherr,totalenergy-syserr,pyscf-version
CuO,1.725,0,1,UHF,vdz,trail,-212.24382291943908,0.0,0.0,new
CuO,1.725,0,1,UHF,vtz,trail,-212.2492147158561,0.0,0.0,new
CuO,1.725,0,1,UB3LYP,vdz,trail,-213.5805096532641,0.0,0.0,new
CuO,1.725,0,1,UB3LYP,vtz,trail,-213.59509656727974,0.0,0.0,new
CuO,1.725,0,1,UPBE0,vdz,trail,-213.5671602281699,0.0,0.0,new
CuO,1.725,0,1,UPBE0,vtz,trail,-213.57948652413808,0.0,0.0,new
CuO,1.725,0,1,ROHF,vdz,trail,-212.23882967320668,0.0,0.0,new
CuO,1.725,0,1,ROHF,vtz,trail,-212.24349945680012,0.0,0.0,new
CuO,1.725,0,1,B3LYP,vdz,trail,-213.57807228092167,0.0,0.0,new
CuO,1.725,0,1,B3LYP,vtz,trail,-213.5922843107862,0.0,0.0,new
CuO,1.725,0,1,PBE0,vdz,trail,-213.56459855218958,0.0,0.0,new
CuO,1.725,0,1,PBE0,vtz,trail,-213.57646780545377,0.0,0.0,new
CuO,1.963925,0,1,UHF,vdz,trail,-212.24549439000754,0.0,0.0,new
CuO,1.963925,0,1,UHF,vtz,trail,-212.2504862074544,0.0,0.0,new
CuO,1.963925,0,1,UB3LYP,vdz,trail,-213.56772043717558,0.0,0.0,new
CuO,1.963925,0,1,UB3LYP,vtz,trail,-213.58336016515563,0.0,0.0,new
CuO,1.963925,0,1,UPBE0,vdz,trail,-213.55413449938476,0.0,0.0,new
CuO,1.963925,0,1,UPBE0,vtz,trail,-213.56707199529097,0.0,0.0,new
CuO,1.963925,0,1,ROHF,vdz,trail,-212.24036696927476,0.0,0.0,new
CuO,1.963925,0,1,ROHF,vtz,trail,-212.2446404079173,0.0,0.0,new
CuO,1.963925,0,1,B3LYP,vdz,trail,-213.56522646880688,0.0,0.0,new
CuO,1.963925,0,1,B3LYP,vtz,trail,-213.58046612463647,0.0,0.0,new
CuO,1.963925,0,1,PBE0,vdz,trail,-213.551540692905,0.0,0.0,new
CuO,1.963925,0,1,PBE0,vtz,trail,-213.5639952128908,0.0,0.0,new
CuO,1.725,0,3,UHF,vdz,trail,-212.18554067272657,0.0,0.0,new
CuO,1.725,0,3,UHF,vtz,trail,-212.18976281788792,0.0,0.0,new
CuO,1.725,0,3,UB3LYP,vdz,trail,-213.52818959882555,0.0,0.0,new
CuO,1.725,0,3,UB3LYP,vtz,trail,-213.53796115048823,0.0,0.0,new
CuO,1.725,0,3,UPBE0,vdz,trail,-213.51300776558273,0.0,0.0,new
CuO,1.725,0,3,UPBE0,vtz,trail,-213.5210073153789,0.0,0.0,new
CuO,1.725,0,3,ROHF,vdz,trail,-212.17278339556788,0.0,0.0,new
CuO,1.725,0,3,ROHF,vtz,trail,-212.1759101125021,0.0,0.0,new
CuO,1.725,0,3,B3LYP,vdz,trail,-213.5216937620891,0.0,0.0,new
CuO,1.725,0,3,B3LYP,vtz,trail,-213.53087157914968,0.0,0.0,new
