run,method,basis,pseudopotential,bond-length,S,E,conv
14,UB3LYP,vdz,trail,1.725,1,-213.35519489318838,True
14,UB3LYP,vtz,trail,1.725,1,-213.36328637277703,True
15,UB3LYP,vdz,trail,1.725,1,-213.33154152743003,True
15,UB3LYP,vtz,trail,1.725,1,-213.33895665611732,True
16,UB3LYP,vdz,trail,1.725,1,-213.2774345763638,True
16,UB3LYP,vtz,trail,1.725,1,-213.28513486774742,True
17,UB3LYP,vdz,trail,1.725,1,-213.31452896741501,True
17,UB3LYP,vtz,trail,1.725,1,-213.32191540481426,True
18,UB3LYP,vdz,trail,1.725,1,-213.23534655544046,True
18,UB3LYP,vtz,trail,1.725,1,-213.24309696535346,True
