run,method,basis,pseudopotential,bond-length,S,E,conv
0,UB3LYP,vdz,trail,1.725,1,-213.57975537520116,True
0,UB3LYP,vtz,trail,1.725,1,-213.59376287068483,True
1,UB3LYP,vdz,trail,1.725,1,-213.47066206026568,True
1,UB3LYP,vtz,trail,1.725,1,-213.47893875631016,True
2,UB3LYP,vdz,trail,1.725,1,-213.47101853382185,True
2,UB3LYP,vtz,trail,1.725,1,-213.47925902552728,True
3,UB3LYP,vdz,trail,1.725,1,-213.50929997270532,True
3,UB3LYP,vtz,trail,1.725,1,-213.51800393070016,True
4,UB3LYP,vdz,trail,1.725,1,-213.51184173749078,True
4,UB3LYP,vtz,trail,1.725,1,-213.52148067575786,True
5,UB3LYP,vdz,trail,1.725,1,-213.48026508367252,True
5,UB3LYP,vtz,trail,1.725,1,-213.49073841104695,True
