run,method,basis,pseudopotential,bond-length,S,E,conv
0,UB3LYP,vdz,trail,1.725,1,-213.57975537584485,True
0,UB3LYP,vtz,trail,1.725,1,-213.5937629157003,True
1,UB3LYP,vdz,trail,1.725,1,-213.53832905100506,True
1,UB3LYP,vtz,trail,1.725,1,-213.55345978304027,True
2,UB3LYP,vdz,trail,1.725,1,-213.52028728773124,True
2,UB3LYP,vtz,trail,1.725,1,-213.53009859108718,True
3,UB3LYP,vdz,trail,1.725,1,-213.4706073858568,True
3,UB3LYP,vtz,trail,1.725,1,-213.47888369885743,True
4,UB3LYP,vdz,trail,1.725,1,-213.4709614405047,True
4,UB3LYP,vtz,trail,1.725,1,-213.4792013240584,True
5,UB3LYP,vdz,trail,1.725,1,-213.50930274992115,True
5,UB3LYP,vtz,trail,1.725,1,-213.5180192120807,True
6,UB3LYP,vdz,trail,1.725,1,-213.51184173571494,True
6,UB3LYP,vtz,trail,1.725,1,-213.52148067647406,True
7,UB3LYP,vdz,trail,1.725,1,-213.48018059416341,True
7,UB3LYP,vtz,trail,1.725,1,-213.49070498049596,True
