run,method,basis,pseudopotential,bond-length,S,E,conv
10,UB3LYP,vdz,trail,1.725,1,-213.35519489353385,True
10,UB3LYP,vtz,trail,1.725,1,-213.36328636985078,True
11,UB3LYP,vdz,trail,1.725,1,-213.27778221659332,True
11,UB3LYP,vtz,trail,1.725,1,-213.28548316046022,True
12,UB3LYP,vdz,trail,1.725,1,-213.23534655544066,True
12,UB3LYP,vtz,trail,1.725,1,-213.24309696535246,True
13,UB3LYP,vdz,trail,1.725,1,-213.33166115105848,True
13,UB3LYP,vtz,trail,1.725,1,-213.33907366899234,True
14,UB3LYP,vdz,trail,1.725,1,-213.31452896742005,True
14,UB3LYP,vtz,trail,1.725,1,-213.32191540416048,True
15,UB3LYP,vdz,trail,1.725,1,-213.35234174612202,True
15,UB3LYP,vtz,trail,1.725,1,-213.3605778969154,True
