run,method,basis,pseudopotential,bond-length,S,E,conv
0,UB3LYP,vdz,trail,1.725,1,-213.57975537584485,True
0,UB3LYP,vtz,trail,1.725,1,-213.5937629157003,True
1,UB3LYP,vdz,trail,1.725,1,-213.48897975318013,True
1,UB3LYP,vtz,trail,1.725,1,-213.49721090097214,True
2,UB3LYP,vdz,trail,1.725,1,-213.50930274992115,True
2,UB3LYP,vtz,trail,1.725,1,-213.5180192120807,True
3,UB3LYP,vdz,trail,1.725,1,-213.52028728773124,True
3,UB3LYP,vtz,trail,1.725,1,-213.53009859108718,True
4,UB3LYP,vdz,trail,1.725,1,-213.35519489318838,True
4,UB3LYP,vtz,trail,1.725,1,-213.36328637277703,True
5,UB3LYP,vdz,trail,1.725,1,-213.53832905100506,True
5,UB3LYP,vtz,trail,1.725,1,-213.55345978304027,True
6,UB3LYP,vdz,trail,1.725,1,-213.51184173571494,True
6,UB3LYP,vtz,trail,1.725,1,-213.52148067647406,True
7,UB3LYP,vdz,trail,1.725,1,-213.48018059416341,True
7,UB3LYP,vtz,trail,1.725,1,-213.49070498049596,True
8,UB3LYP,vdz,trail,1.725,1,-213.4706073858568,True
8,UB3LYP,vtz,trail,1.725,1,-213.47888369885743,True
9,UB3LYP,vdz,trail,1.725,1,-213.4709614405047,True
9,UB3LYP,vtz,trail,1.725,1,-213.4792013240584,True
10,UB3LYP,vdz,trail,1.725,1,-213.46164031878132,True
10,UB3LYP,vtz,trail,1.725,1,-213.46981201615483,True
11,UB3LYP,vdz,trail,1.725,1,-213.2774345763638,True
11,UB3LYP,vtz,trail,1.725,1,-213.28513486774742,True
12,UB3LYP,vdz,trail,1.725,1,-213.23534655544046,True
12,UB3LYP,vtz,trail,1.725,1,-213.24309696535346,True
13,UB3LYP,vdz,trail,1.725,1,-213.33154152743003,True
13,UB3LYP,vtz,trail,1.725,1,-213.33895665611732,True
14,UB3LYP,vdz,trail,1.725,1,-213.31452896741501,True
14,UB3LYP,vtz,trail,1.725,1,-213.32191540481426,True
15,UB3LYP,vdz,trail,1.725,1,-213.4196443255095,True
15,UB3LYP,vtz,trail,1.725,1,-213.4295090441857,True
