                      OLS Regression Results                      
Dep. Variable:   ,energy          ,  R-squared:         ,   0.979 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.979 
Method:          ,Least Squares   ,  F-statistic:       ,   3148. 
Date:            ,Mon, 11 Mar 2019,  Prob (F-statistic):,5.65e-276
Time:            ,15:39:01        ,  Log-Likelihood:    ,  301.24 
No. Observations:,   336          ,  AIC:               ,  -590.5 
Df Residuals:    ,   330          ,  BIC:               ,  -567.6 
Df Model:        ,     5          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
         ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const    ,-5773.0424,    0.344,-1.68e+04, 0.000,-5773.720,-5772.365
mo_n_3d  ,   -3.0903,    0.027, -114.307, 0.000,   -3.144,   -3.037
mo_n_2ppi,   -0.7501,    0.028,  -26.728, 0.000,   -0.805,   -0.695
mo_n_2pz ,   -1.6424,    0.035,  -47.030, 0.000,   -1.711,   -1.574
mo_t_pi  ,    0.6930,    0.030,   23.092, 0.000,    0.634,    0.752
Jsd      ,   -0.4296,    0.053,   -8.126, 0.000,   -0.534,   -0.326
Omnibus:      , 4.564,  Durbin-Watson:     ,   1.384
Prob(Omnibus):, 0.102,  Jarque-Bera (JB):  ,   4.475
Skew:         ,-0.243,  Prob(JB):          ,   0.107
Kurtosis:     , 2.711,  Cond. No.          ,    633.
